epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.52355,1.28084,2.43204,1.06775,0.36328,0.90732,0.8698,0.55025,1.14479,2.35276,1.00857,0.000463056,0.000463056,0.000463056
2,13.2984,1.34998,2.10878,1.06271,0.87995,0.83902,0.87813,0.56646,1.20553,2.01293,1.06222,0.000998552,0.000998552,0.000998552
3,18.8226,1.30875,1.88426,1.09452,0.724,0.73659,0.70008,0.38464,1.43378,1.91271,1.15436,0.00151204,0.00151204,0.00151204
4,24.2784,1.32113,1.71074,1.11958,0.09449,0.58049,0.05989,0.03365,1.36725,6.47753,1.1325,0.00156798,0.00156798,0.00156798
5,29.8213,1.44393,1.58312,1.15139,0.11881,0.72195,0.09499,0.05266,1.39995,7.61053,1.16653,0.00153497,0.00153497,0.00153497
6,35.3264,1.30594,1.41505,1.08684,0.39642,0.80735,0.37964,0.22343,1.25921,1.95641,1.10487,0.00150197,0.00150197,0.00150197
7,40.8612,1.28929,1.31432,1.09691,0.65582,0.84585,0.63532,0.38672,1.18778,1.43379,1.06428,0.00146896,0.00146896,0.00146896
8,46.5844,1.31482,1.23519,1.0785,0.87067,0.85387,0.89131,0.56414,1.18333,1.1431,1.04732,0.00143595,0.00143595,0.00143595
9,52.1031,1.23875,1.14639,1.05214,0.8461,0.85854,0.88694,0.54866,1.20309,1.10502,1.0495,0.00140295,0.00140295,0.00140295
10,57.7174,1.17996,1.07074,1.06049,0.88019,0.86011,0.88388,0.57643,1.16346,1.02735,1.05,0.00136994,0.00136994,0.00136994
11,63.2961,1.23194,1.0013,1.06206,0.84548,0.8439,0.85077,0.55415,1.18865,1.04227,1.05018,0.00133693,0.00133693,0.00133693
12,68.8049,1.16566,0.95647,1.04546,0.8474,0.87317,0.85808,0.54129,1.13008,1.00277,1.01658,0.00130393,0.00130393,0.00130393
13,74.2806,1.18572,0.91004,1.04137,0.84002,0.87086,0.88625,0.54572,1.14234,0.97396,1.02515,0.00127092,0.00127092,0.00127092
14,79.7549,1.13284,0.87795,1.0338,0.89099,0.87317,0.91463,0.56272,1.16668,0.8698,1.03809,0.00123791,0.00123791,0.00123791
15,85.2944,1.10425,0.84464,1.03111,0.92323,0.88293,0.91511,0.60173,1.12268,0.82312,1.01319,0.00120491,0.00120491,0.00120491
16,90.7955,1.11715,0.82143,1.02045,0.91707,0.88293,0.92232,0.60725,1.10833,0.80469,1.00226,0.0011719,0.0011719,0.0011719
17,96.3298,1.1312,0.79925,1.01762,0.92606,0.85529,0.90484,0.61265,1.10283,0.79095,0.99889,0.00113889,0.00113889,0.00113889
18,101.848,1.16689,0.80229,1.02242,0.89387,0.8878,0.92247,0.595,1.15337,0.79961,1.01862,0.00110589,0.00110589,0.00110589
19,107.332,1.13319,0.79358,1.02987,0.94112,0.85769,0.9263,0.6028,1.14821,0.78203,1.00942,0.00107288,0.00107288,0.00107288
20,112.869,1.08656,0.75685,1.01142,0.91026,0.84113,0.91327,0.61898,1.06915,0.76687,0.99248,0.00103987,0.00103987,0.00103987
