epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8263,1.68439,3.32686,1.2013,0.0325,0.46429,0.10417,0.02887,1.59168,3.24233,1.08002,0.000444444,0.000444444,0.000444444
2,16.2793,1.65246,2.87307,1.10699,0.05125,0.73214,0.14011,0.03894,1.47483,3.31786,1.08586,0.00108911,0.00108911,0.00108911
3,19.785,1.8972,2.57048,1.17842,0.05292,0.75595,0.10709,0.03147,1.74647,3.28713,1.21323,0.00170738,0.00170738,0.00170738
4,23.1189,2.03003,2.3216,1.26527,0.04,0.57143,0.03895,0.01284,1.85385,3.32121,1.45037,0.0018812,0.0018812,0.0018812
5,26.5086,2.00182,2.11471,1.33081,0.04833,0.69048,0.05507,0.01886,2.04867,3.19286,1.42457,0.0018416,0.0018416,0.0018416
6,29.7461,1.87572,1.76144,1.1715,0.04833,0.69048,0.05507,0.01886,2.04867,3.19286,1.42457,0.001802,0.001802,0.001802
7,33.052,1.83316,1.66894,1.15823,0.04667,0.66667,0.06576,0.02283,1.87745,3.15039,1.37089,0.0017624,0.0017624,0.0017624
8,36.41,1.72574,1.46321,1.13915,0.04792,0.68452,0.14728,0.06749,1.64163,3.04797,1.27797,0.0017228,0.0017228,0.0017228
9,39.8369,1.74306,1.29382,1.13484,0.05167,0.7381,0.22288,0.09598,1.8462,2.97196,1.29785,0.0016832,0.0016832,0.0016832
10,43.4873,1.68802,1.23822,1.1276,0.05167,0.7381,0.22288,0.09598,1.8462,2.97196,1.29785,0.0016436,0.0016436,0.0016436
11,46.982,1.60707,1.19793,1.11393,0.04708,0.67262,0.25012,0.1078,1.7181,2.8543,1.29443,0.001604,0.001604,0.001604
12,50.4008,1.51289,1.13991,1.09871,0.05417,0.77381,0.40154,0.18965,1.60573,2.72451,1.17432,0.0015644,0.0015644,0.0015644
13,53.8041,1.53104,1.10773,1.06414,0.04958,0.70833,0.45257,0.20971,1.54254,2.73887,1.18289,0.0015248,0.0015248,0.0015248
14,57.1457,1.41116,1.03838,1.05567,0.04958,0.70833,0.45257,0.20971,1.54254,2.73887,1.18289,0.0014852,0.0014852,0.0014852
15,60.596,1.32954,1.02659,1.05495,0.04833,0.69048,0.42568,0.18488,1.58096,2.77999,1.22629,0.0014456,0.0014456,0.0014456
16,64.0277,1.28904,0.962,1.04868,0.055,0.78571,0.42736,0.20599,1.5497,2.71551,1.20379,0.001406,0.001406,0.001406
17,67.8511,1.34477,0.98024,1.04757,0.05958,0.85119,0.55951,0.27992,1.43542,2.61279,1.11446,0.0013664,0.0013664,0.0013664
18,71.2422,1.32641,0.91924,1.01443,0.05958,0.85119,0.55951,0.27992,1.43542,2.61279,1.11446,0.0013268,0.0013268,0.0013268
19,74.6398,1.37002,0.9075,1.01669,0.06083,0.86905,0.59726,0.32706,1.38565,2.5319,1.08603,0.0012872,0.0012872,0.0012872
20,78.1143,1.27069,0.93395,1.02137,0.17767,0.66667,0.54962,0.28127,1.48524,2.53611,1.12622,0.0012476,0.0012476,0.0012476
21,81.5816,1.28882,0.902,1.01931,0.63244,0.53571,0.45876,0.22003,1.60012,2.55286,1.18805,0.001208,0.001208,0.001208
22,84.9214,1.20875,0.89577,0.99567,0.63244,0.53571,0.45876,0.22003,1.60012,2.55286,1.18805,0.0011684,0.0011684,0.0011684
23,88.2668,1.19892,0.86034,0.97935,0.82229,0.30298,0.57393,0.30219,1.4504,2.32741,1.1073,0.0011288,0.0011288,0.0011288
24,91.6848,1.23504,0.89989,1.00121,0.92947,0.43452,0.71424,0.40608,1.34672,2.09242,1.04528,0.0010892,0.0010892,0.0010892
